ID,Virus,Time,Band_Intensity,Origin,VirusDate,VirusDay
Y1C6,IAPV,T2,NA,California,7/13/16,40
Y1C7,IAPV,T2,NA,California,7/13/16,40
Y1C8,IAPV,T2,NA,California,7/13/16,40
Y1C9,IAPV,T2,0.5,California,7/13/16,40
Y1C10,IAPV,T2,3.96,California,7/13/16,40
Y2C1,IAPV,T2,0,California,7/13/16,40
Y2C2,IAPV,T2,NA,California,7/13/16,40
Y2C3,IAPV,T2,4.21,California,7/13/16,40
Y2C4,IAPV,T2,3.55,California,7/13/16,40
Y2C6,IAPV,T2,3.01,California,7/13/16,40
Y2C7,IAPV,T2,3.23,California,7/13/16,40
Y2C8,IAPV,T2,2.85,California,7/13/16,40
Y2C9,IAPV,T2,NA,California,7/13/16,40
Y2C10,IAPV,T2,0.45,California,7/13/16,40
